datetime,code,open,close,high,low,vol,amount,p_change
2019-06-17,000300,3654.443,3646.829,3683.774,3645.498,440698.0,57971552256.0,-0.22
2019-06-14,000300,3690.48,3654.88,3709.65,3650.91,1018170.0,116584259584.0,-0.83
2019-06-13,000300,3689.58,3685.39,3697.59,3654.27,963317.0,110459904000.0,-0.15
2019-06-12,000300,3706.86,3691.1,3711.88,3683.94,1191788.0,132296097792.0,-0.76
2019-06-11,000300,3617.52,3719.28,3723.14,3617.52,1434828.0,180899069952.0,3.01
2019-06-10,000300,3578.01,3610.74,3623.73,3568.28,923750.0,117346607104.0,1.29
2019-06-06,000300,3601.04,3564.68,3601.04,3557.02,855344.0,104367267840.0,-0.9
2019-06-05,000300,3627.79,3597.11,3634.45,3593.95,886420.0,114634227712.0,-0.04
2019-06-04,000300,3632.56,3598.47,3636.13,3584.46,870970.0,109467238400.0,-0.92
2019-06-03,000300,3640.61,3632.01,3672.81,3613.13,1007231.0,123902443520.0,0.06
2019-05-31,000300,3641.0,3629.79,3668.18,3627.54,892222.0,108264202240.0,-0.31
2019-05-30,000300,3648.85,3641.18,3650.97,3612.62,942025.0,112864075776.0,-0.62
2019-05-29,000300,3642.54,3663.91,3693.23,3637.35,933554.0,120002035712.0,-0.23
2019-05-28,000300,3633.02,3672.26,3683.23,3627.79,1178862.0,148966342656.0,0.96
2019-05-27,000300,3592.6,3637.2,3648.03,3556.26,1088308.0,133399052288.0,1.2
2019-05-24,000300,3584.9,3593.91,3623.39,3580.79,809340.0,101337497600.0,0.28
2019-05-23,000300,3629.53,3583.96,3631.47,3578.11,998977.0,125611966464.0,-1.79
2019-05-22,000300,3663.15,3649.38,3679.27,3634.75,983461.0,121775243264.0,-0.47
2019-05-21,000300,3619.44,3666.78,3690.09,3610.68,1110229.0,133071380480.0,1.35
2019-05-20,000300,3635.74,3617.79,3644.5,3583.83,1089634.0,134194266112.0,-0.85
2019-05-17,000300,3744.88,3648.76,3745.36,3637.58,1284532.0,154092355584.0,-2.54
2019-05-16,000300,3720.04,3743.96,3745.14,3707.9,1162582.0,139851939840.0,0.45
2019-05-15,000300,3674.99,3727.09,3741.04,3674.99,1101617.0,152534548480.0,2.25
2019-05-14,000300,3630.44,3645.15,3683.26,3630.44,1023134.0,135262871552.0,-0.64
2019-05-13,000300,3675.76,3668.73,3702.9,3658.0,1033918.0,135053926400.0,-1.65
2019-05-10,000300,3643.06,3730.45,3732.92,3589.29,1480038.0,195067166720.0,3.63
2019-05-09,000300,3637.35,3599.7,3656.9,3584.82,1010373.0,141829095424.0,-1.85
2019-05-08,000300,3648.55,3667.46,3722.93,3642.5,1128673.0,145058480128.0,-1.43
2019-05-07,000300,3702.27,3720.67,3738.18,3671.83,1328476.0,183659151360.0,0.98
2019-05-06,000300,3775.08,3684.62,3791.61,3647.14,1974728.0,254115397632.0,-5.84
2019-04-30,000300,3887.18,3913.21,3923.11,3885.15,1162333.0,161665925120.0,0.33
2019-04-29,000300,3896.58,3900.33,3953.23,3875.45,1538709.0,203946557440.0,0.28
2019-04-26,000300,3921.89,3889.27,3943.83,3887.25,1420080.0,186572144640.0,-1.33
2019-04-25,000300,4013.6,3941.82,4022.56,3938.33,1597220.0,197530992640.0,-2.19
2019-04-24,000300,4033.63,4030.09,4044.34,3967.81,1454986.0,186497957888.0,0.28
2019-04-23,000300,4021.63,4019.01,4061.09,4005.28,1556116.0,204121505792.0,-0.16
2019-04-22,000300,4125.97,4025.61,4126.09,4015.47,1893537.0,244380549120.0,-2.31
2019-04-19,000300,4076.3,4120.61,4120.64,4046.2,1507949.0,194701688832.0,1.19
2019-04-18,000300,4085.11,4072.08,4094.05,4056.24,1465621.0,187812691968.0,-0.37
2019-04-17,000300,4080.72,4087.24,4106.62,4057.5,1803671.0,228824432640.0,0.04
2019-04-16,000300,3958.1,4085.79,4085.79,3943.49,2020419.0,250569211904.0,2.77
2019-04-15,000300,4056.49,3975.52,4085.39,3974.23,1826455.0,236298715136.0,-0.33
2019-04-12,000300,3986.78,3988.62,4006.93,3961.46,1358621.0,178795937792.0,-0.22
2019-04-11,000300,4083.46,3997.58,4097.13,3990.24,1690496.0,236259164160.0,-2.16
2019-04-10,000300,4062.44,4085.85,4115.38,4035.47,1946876.0,278282010624.0,0.26
2019-04-09,000300,4063.81,4075.43,4084.24,4038.28,1829568.0,243187908608.0,0.45
2019-04-08,000300,4097.1,4057.23,4122.6,4017.49,2675055.0,324670455808.0,-0.12
2019-04-04,000300,4039.74,4062.23,4072.11,4021.71,2604109.0,313539428352.0,1.0
2019-04-03,000300,3947.87,4022.16,4026.5,3939.78,2319173.0,284826501120.0,1.28
2019-04-02,000300,3986.34,3971.29,3988.1,3956.51,2260003.0,281892061184.0,-0.07
2019-04-01,000300,3901.17,3973.93,3982.91,3901.17,2713827.0,340799389696.0,2.62
2019-03-29,000300,3739.77,3872.34,3876.38,3739.77,2156391.0,283022295040.0,3.86
2019-03-28,000300,3731.06,3728.4,3755.72,3710.08,1332721.0,172604391424.0,-0.4
2019-03-27,000300,3724.41,3743.39,3750.26,3703.45,1387584.0,177507532800.0,1.16
2019-03-26,000300,3766.53,3700.44,3770.84,3687.55,1730465.0,196547805184.0,-1.13
2019-03-25,000300,3776.44,3742.83,3807.18,3741.61,1985863.0,223396560896.0,-2.37
2019-03-22,000300,3838.13,3833.8,3845.58,3786.59,1713569.0,198518390784.0,-0.08
2019-03-21,000300,3840.28,3836.89,3864.07,3823.47,1963103.0,231993442304.0,0.04
2019-03-20,000300,3825.34,3835.44,3855.15,3790.51,1756320.0,215407001600.0,0.04
2019-03-19,000300,3856.59,3833.96,3868.33,3815.22,1817271.0,224096894976.0,-0.46
2019-03-18,000300,3753.64,3851.75,3851.75,3733.68,2169280.0,276473446400.0,2.85
2019-03-15,000300,3713.94,3745.0,3782.24,3713.94,1751745.0,224194363392.0,1.26
2019-03-14,000300,3710.29,3698.49,3747.82,3673.85,1908172.0,231820148736.0,-0.69
2019-03-13,000300,3758.71,3724.19,3763.09,3708.81,2336822.0,286171037696.0,-0.83
2019-03-12,000300,3758.32,3755.35,3804.72,3723.68,2749263.0,325180620800.0,0.68
2019-03-11,000300,3663.98,3729.95,3731.91,3650.81,2309128.0,268718456832.0,1.98
2019-03-08,000300,3721.4,3657.58,3774.54,3656.19,3179900.0,349296689152.0,-3.97
2019-03-07,000300,3841.15,3808.85,3845.18,3778.8,3298465.0,359339163648.0,-1.02
2019-03-06,000300,3822.86,3848.09,3855.16,3787.52,3180773.0,331155603456.0,0.84
2019-03-05,000300,3785.38,3816.01,3816.16,3770.79,2308531.0,261464129536.0,0.58
2019-03-04,000300,3783.04,3794.1,3886.58,3764.78,3234901.0,376397299712.0,1.18
2019-03-01,000300,3699.22,3749.71,3749.71,3668.77,2047110.0,235620630528.0,2.19
2019-02-28,000300,3675.26,3669.37,3695.46,3650.05,1848102.0,206010957824.0,-0.25
2019-02-27,000300,3682.81,3678.39,3737.63,3638.33,2862360.0,307306135552.0,-0.17
2019-02-26,000300,3734.71,3684.69,3762.11,3679.27,3580386.0,387632857088.0,-1.2
2019-02-25,000300,3575.85,3729.48,3729.48,3574.69,3425571.0,376382390272.0,5.95
2019-02-22,000300,3439.38,3520.12,3520.12,3417.98,1872379.0,202869293056.0,2.25
2019-02-21,000300,3450.14,3442.71,3500.25,3431.63,1801432.0,185197150208.0,-0.27
2019-02-20,000300,3449.93,3451.93,3463.77,3421.5,1473903.0,145570267136.0,0.36
2019-02-19,000300,3454.72,3439.61,3480.79,3419.07,1790837.0,185762742272.0,-0.18
2019-02-18,000300,3366.42,3445.74,3445.74,3366.42,1828860.0,180449738752.0,3.21
2019-02-15,000300,3391.24,3338.7,3395.03,3335.87,1436686.0,141555056640.0,-1.86
2019-02-14,000300,3392.85,3402.14,3415.4,3381.98,1511272.0,138649288704.0,0.15
2019-02-13,000300,3337.78,3397.03,3405.58,3329.14,1638283.0,168866267136.0,2.0
2019-02-12,000300,3306.35,3330.34,3335.36,3298.63,1222324.0,122834100224.0,0.72
2019-02-11,000300,3239.81,3306.47,3307.06,3239.81,988184.0,114752356352.0,1.82
2019-02-01,000300,3225.73,3247.4,3247.5,3207.72,820196.0,94766415872.0,1.43
2019-01-31,000300,3182.7,3201.63,3216.07,3178.01,862478.0,97509924864.0,1.05
2019-01-30,000300,3181.66,3168.48,3202.9,3167.89,637465.0,73005121536.0,-0.8
2019-01-29,000300,3177.26,3193.97,3200.99,3148.23,776583.0,85943910400.0,0.32
2019-01-28,000300,3203.12,3183.78,3228.87,3174.72,826224.0,97371496448.0,-0.02
2019-01-25,000300,3165.18,3184.47,3203.17,3164.41,839677.0,93207953408.0,0.81
2019-01-24,000300,3146.6,3158.78,3165.63,3125.3,729346.0,80963878912.0,0.56
2019-01-23,000300,3136.1,3141.05,3157.63,3131.87,598704.0,62669651968.0,-0.07
2019-01-22,000300,3181.95,3143.32,3181.95,3135.34,729905.0,78150877184.0,-1.33
2019-01-21,000300,3170.88,3185.64,3199.21,3170.88,939150.0,105536987136.0,0.55
2019-01-18,000300,3124.5,3168.17,3171.69,3120.35,1039638.0,106780655616.0,1.82
2019-01-17,000300,3132.63,3111.42,3141.71,3110.06,801748.0,82888204288.0,-0.55
2019-01-16,000300,3126.13,3128.65,3135.01,3117.29,802143.0,85781594112.0,0.02
